"","sccs_id","slat","slon","focal_yr","plant1_start","plant1_end","plant2_start","plant2_end","plant3_start","plant3_end","plant4_start","plant4_end","ghcn1","lat1","lon1","elev1","ghcn2","lat2","lon2","elev2","ghcn3","lat3","lon3","elev3","ghcn4","lat4","lon4","elev4"
"1","1",-27.5,17,1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2",-19.94000053,20.53000069,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","8",-9.550000191,33.86000061,1934,349,47,32,90,244,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","9",-3.75,35,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","12",0.479999989,32.56000137,1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","13",1.75,28.32999992,1950,91,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","21",13.75,-15.21000004,1950,152,243,152,212,NA,NA,NA,NA,"SG000061687",13.767,-13.683,50,"SG000001627",15.38,-15.15,21,"SG00000O067",14.8,-17.07,71,"SG00000O077",14.67,-17.43,40
"8","22",13.02999973,-7.349999905,1902,NA,NA,NA,NA,NA,NA,NA,NA,"GV000001811",11.43,-9.17,362,"GV000001829",10.38,-9.3,377,NA,NA,NA,NA,NA,NA,NA,NA
"9","23",10.77999973,-0.819999993,1934,121,212,NA,NA,121,212,NA,NA,"TO000005352",10.37,0.37,145,"UV000005507",12.07,0.35,301,"UV000005516",11.73,-2.92,264,"UV000065516",11.75,-2.933,271
"10","24",16.66667,-2,1940,121,212,NA,NA,NA,NA,NA,NA,"ML000061223",16.717,-3,264,"UV000005502",13.58,-2.43,340,"UV000065501",14.033,-0.033,277,"UV000005501",14.03,0.05,288
"11","25",21,12,1951,NA,NA,NA,NA,NA,NA,NA,NA,"NG000001017",18.68,12.92,359,"NG000001024",16.98,7.98,520,"NG000061024",16.967,7.967,505,NA,NA,NA,NA
"12","26",11.06000042,7.75,1900,121,212,152,181,121,181,NA,NA,"NG000001080",13.47,7.08,388,"NG000001090",13.8,9,489,"NG000001075",13.8,5.25,272,"NG000001043",14.9,5.25,384
"13","27",10.33333,15.3,1910,121,212,152,212,NA,NA,NA,NA,"CD000004709",9.37,14.87,716,"CD000004705",10.48,16.72,336,"CD000004700",12.13,15.03,295,"CD000004706",8.62,16.07,422
"14","29",13.5,25.5,1880,152,212,NA,NA,NA,NA,NA,NA,"SU000062790",12.05,24.883,643,"SU000062781",12.7,28.433,564,NA,NA,NA,NA,NA,NA,NA,NA
"15","30",11.93000031,30.75,1930,91,151,NA,NA,NA,NA,NA,NA,"SU000062781",12.7,28.433,564,"SU000062840",9.55,31.65,388,"SU000062762",13.55,33.617,418,NA,NA,NA,NA
"16","32",9.33333,34.66667,1939,60,143,91,151,NA,NA,NA,NA,"ET000063403",8.15,35.533,2002,"ET000063340",9.083,36.45,2080,"ET000063402",7.667,36.833,1725,"SU000062840",9.55,31.65,388
"17","34",-4.900000095,35.86000061,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","35",5.340000153,37.43999863,1935,60,142,NA,NA,NA,NA,NA,NA,"ET000063460",7.083,38.483,1750,"ET000063533",5.33,39.57,1544,"ET000063402",7.667,36.833,1725,NA,NA,NA,NA
"19","36",9,47,1900,NA,NA,NA,NA,NA,NA,NA,NA,"ET000063473",9.333,42.717,1644,"ET000063478",5.9,43.583,295,"ET000063471",9.6,41.85,1260,"ER000063043",13.067,42.717,14
"20","37",12.60000038,37.45000076,1953,121,212,152,232,152,212,244,304,"ET000063331",12.55,37.417,1967,"ET000063332",11.6,37.417,1770,"ET000063330",13.5,39.483,2070,"ET000063334",10.333,37.667,2515
"21","39",23,38.75,1900,NA,NA,NA,NA,NA,NA,NA,NA,"SA000041024",21.7,39.183,17,"SA000040430",24.55,39.7,636,"SU000062641",19.583,37.217,42,"SA000403940",27.433,41.683,1002
"22","40",22.5,17.81999969,1950,121,212,283,324,NA,NA,NA,NA,"CD000004753",18,19.17,234,"LY000062271",24.22,23.3,436,"LY000062124",27.02,14.45,432,NA,NA,NA,NA
"23","42",35,-3.25,1926,NA,NA,NA,NA,NA,NA,NA,NA,"SP000060338",35.2778,-2.9553,47,"AGE00147716",35.1,-1.85,83,NA,NA,NA,NA,NA,NA,NA,NA
"24","43",24.73999977,32.93000031,1950,102,173,315,354,NA,NA,NA,NA,"EG000062414",23.9667,32.7831,200,"EG000062463",27.15,33.7167,16,"EG000062432",25.4831,29,107,NA,NA,NA,NA
